"chicago","121"
"usandmumbai","120"
"daniel","120"
"league","120"
"r","120"
"honor","119"
"miller","119"
"wrong","118"
"b","118"
"offense","118"
"via","118"
"probably","118"
"blood","118"
"high","117"
"fight","117"
"page","117"
"jmonclar","117"
"kick","117"
"spangled","116"
"abcnetwork","116"
"sing","116"
"lmao","116"
"continue","115"
"11","115"
"name","115"
"lineups","114"
"mc","114"
"proud","114"
"losing","114"
"mi","114"
"é","114"
"stephgonnasteph","114"
"pull","113"
"francisco","113"
"strong","113"
"mas","113"
"cool","113"
"hold","113"
"told","113"
"area","113"
"wearing","113"
"skynba","112"
"alvaronbamartin","112"
"noche","112"
"dmansworld474","112"
"12","112"
"top","112"
"idk","112"
"dormiresdecobardes","111"
"beautiful","111"
"props","111"
"jeff","111"
"prediction","111"
"hype","110"
"cause","110"
"copaamericachile2015","110"
"igoudala","110"
"22","110"
"oracle","110"
"concussion","110"
"streetssftv","109"
"greatest","109"
"nasty","109"
"rebounds","109"
"sick","109"
"also","108"
"ring","108"
"moment","108"
"bears","108"
"klaythompson","107"
"livingston","107"
"house","107"
"officials","106"
"lisajac21671472","106"
"media","106"
"late","106"
"believeland","106"
"sportscenter","106"
"coverages","106"
"return","106"
"challenging","106"
"poor","105"
"partidos","105"
"luck","105"
"happen","105"
"takes","105"
"yan","105"
"part","105"
"boi","104"
"knicks","104"
"gana","104"
"try","104"
"à","104"
"dont","104"
"happened","104"
"chicken","104"
"equipo","103"
"anymore","103"
"rugby","103"
"gold","103"
"gametime","103"
"playoff","103"
"chance","103"
"skill","103"
"han","102"
"andrew","102"
"finale","102"
"kinda","102"
"victory","102"
"city","102"
"champion","102"
"either","102"
"money23green","102"
"hoping","102"
"forget","102"
"easy","101"
"nbaplus","101"
"desde","100"
"theland","100"
"listen","100"
"horrible","100"
"está","100"
"irving","100"
"nbatv","100"
"tough","100"
"jones","100"
"emotion","99"
"question","99"
"favor","99"
"change","99"
"jersey","99"
"killed","99"
"history","99"
"che","98"
"heat","98"
"gablewrap","98"
"kbinge","98"
"wrestlerprobs","98"
"kyledake444","98"
"full","97"
"non","97"
"silver","97"
"cc","97"
"physicality","97"
"wit","97"
"energy","97"
"tougher","96"
"roryscovel","96"
"comes","96"
"nbaextra","96"
"showed","96"
"siempre","96"
"biggest","96"
"super","96"
"insane","95"
"hand","95"
"hairline","95"
"kyrie","95"
"paul8727","95"
"clutch","95"
"magic","94"
"hands","94"
"georgia","94"
"forgot","94"
"elements","94"
"winner","94"
"mosgov","94"
"catch","94"
"mitb","94"
"goodness","94"
"mute","93"
"warriornation","93"
"ce","93"
"supporting","93"
"june","93"
"alanhahn","92"
"deli","92"
"bet","92"
"ur","92"
"3s","92"
"pts","92"
"stupid","92"
"nigga","92"
"greatness","91"
"tiene","91"
"slow","91"
"less","91"
"alemamoli","91"
"streets","90"
"truth","90"
"rock","90"
"confident","90"
"dang","90"
"needed","89"
"sometimes","89"
"thats","89"
"stephenasmith","89"
"coachcmorales","89"
"pick","89"
"du","89"
"oitnbseason3","89"
"junior","89"
"pour","89"
"5to","89"
"sleep","89"
"gave","88"
"shooter","88"
"hitting","88"
"ahead","88"
"unreal","88"
"enjoy","88"
"anybody","88"
"usa","88"
"dutchysc","88"
"tall","88"
"mais","88"
"cartoonky","87"
"west","87"
"vickers","87"
"quotesbookph","87"
"todo","87"
"quiet","87"
"young","87"
"deangelo","87"
"varsity","87"
"use","87"
"looked","87"
"poster","87"
"kaya","87"
"singular","87"
"bit","87"
"rugbynation","87"
"morning","86"
"forward","86"
"knew","86"
"51tunez","86"
"onlytheoffice","86"
"travel","85"
"jayhoopstar12","85"
"ah","85"
"bleed","85"
"103","85"
"walk","85"
"bien","85"
"sankofabrown","85"
"bronsexual","84"
"stuff","84"
"cuz","84"
"bae","84"
"ask","84"
"worse","84"
"alone","84"
"gettin","84"
"smart","83"
"loss","83"
"solo","83"
"injury","83"
"bosslady2012","83"
"different","83"
"están","82"
"ser","82"
"fashionistakika","82"
"till","82"
"human","82"
"cant","81"
"ganar","81"
"clearly","81"
"together","81"
"gsvscle","81"
"tweet","81"
"perkins","81"
"welcome","81"
"soon","81"
"stevekerr","81"
"eating","81"
"è","80"
"ag","80"
"recap","80"
"unbelievable","80"
"four","80"
"domingo","80"
"screen","80"
"stand","80"
"82","80"
"offensive","80"
"dunked","80"
"muy","79"
"level","79"
"um","79"
"37points","79"
"family","79"
"kid","79"
"x","79"
"malikrose","79"
"locker","78"
"working","78"
"lang","78"
"labron","78"
"sitting","78"
"shows","78"
"fuckin","78"
"nike","78"
"14","78"
"using","78"
"serious","78"
"dramatic","77"
"week","77"
"soccer","77"
"fall","77"
"screens","77"
"person","77"
"goin","77"
"instead","77"
"min","77"
"commentators","76"
"warriorsvscavs","76"
"totally","76"
"nangangamoy","76"
"air","76"
"television","76"
"important","76"
"alright","76"
"esto","76"
"bar","76"
"paso","75"
"basquetplus","75"
"key","75"
"kevin","75"
"leads","75"
"effort","75"
"simple","75"
"hay","74"
"deserves","74"
"bro","74"
"battle","74"
"wwe","74"
"adaimiel","74"
"hbarnes","74"
"layup","74"
"cavaliersvswarriors","74"
"side","74"
"five","74"
"mins","74"
"moving","74"
"confidence","73"
"telling","73"
"sound","73"
"gran","73"
"sit","73"
"iman","73"
"die","73"
"dad","73"
"justbballvine","73"
"incredible","72"
"champions","72"
"samirm303","72"
"je","72"
"low","72"
"awful","72"
"rendition","72"
"holy","72"
"literally","72"
"white","72"
"niyo","71"
"así","71"
"special","71"
"x2thav","71"
"deserve","71"
"hahahaha","71"
"loses","71"
"nomedigasporqué","71"
"mind","71"
"sonysix","71"
"thinking","71"
"sportstaxman","71"
"fine","71"
"stitches","71"
"shump","70"
"turned","70"
"séptimos","70"
"epic","70"
"quintos","70"
"app","70"
"gustado","70"
"rules","70"
"21","70"
"ftw","70"
"business","70"
"stats","70"
"pas","70"
"rim","70"
"learn","69"
"cheering","69"
"cmon","69"
"te","69"
"91","69"
"ago","69"
"lil","69"
"america","68"
"joke","68"
"numbers","68"
"ejerezespn","68"
"otro","68"
"nbaindia","68"
"dub","68"
"adam","68"
"104","68"
"wanted","68"
"push","68"
"asesino","68"
"running","68"
"changes","68"
"pressure","67"
"fouled","67"
"gash","67"
"ouch","67"
"pm","67"
"leave","67"
"cry","67"
"cookin","67"
"clock","66"
"meme","66"
"wake","66"
"teamcurry","66"
"version","66"
"thinks","66"
"antogriezmann","66"
"kind","66"
"understand","66"
"commercials","66"
"fast","66"
"mchammer","66"
"blame","66"
"center","66"
"100","66"
"tonite","66"
"roll","65"
"minute","65"
"party","65"
"zero","65"
"jugador","65"
"ilovethisgame","65"
"finais","65"
"iguodola","65"
"mo","65"
"goo","65"
"joe","65"
"nextmanup","65"
"moremoemoe","65"
"comeback","65"
"credit","65"
"swish","65"
"consistent","65"
"gara","65"
"control","65"
"front","65"
"penis","65"
"michael","64"
"jump","64"
"sweet","64"
"des","64"
"falta","64"
"breaking","64"
"found","64"
"uh","64"
"referees","64"
"dos","64"
"traveling","64"
"swear","64"
"men","64"
"sad","64"
"crying","64"
"skills","64"
"turning","64"
"blow","64"
"sportsliveph","64"
"tremendo","63"
"doe","63"
"deep","63"
"suck","63"
"movie","63"
"sucks","63"
"nbaxespn","63"
"kids","62"
"timeout","62"
"coffee","62"
"bandwagon","62"
"black","62"
"hoje","62"
"yea","62"
"words","62"
"bruh","62"
"feels","61"
"story","61"
"leading","61"
"imagine","61"
"voice","61"
"read","61"
"used","61"
"shame","61"
"rn","61"
"tl","61"
"bang","61"
"goat","61"
"miami","61"
"knows","61"
"boston","61"
"espndeportes","61"
"oraclearena","61"
"exactly","61"
"humildad","60"
"hour","60"
"happens","60"
"clevelandtito","60"
"hablemos","60"
"attention","60"
"tu","60"
"join","60"
"dagger","60"
"single","60"
"balls","60"
"tweets","60"
"loved","60"
"tip","60"
"ohio","59"
"assists","59"
"dead","59"
"bullshit","59"
"eso","59"
"jugadorazo","59"
"replay","59"
"drive","59"
"course","59"
"cbssports","59"
"scored","59"
"clevelandcavs","59"
"23","59"
"puede","58"
"entire","58"
"hopefully","58"
"kanye","58"
"hours","58"
"shaq","58"
"invent","58"
"follow","58"
"simply","58"
"letting","58"
"apparently","58"
"gives","58"
"eat","58"
"asked","58"
"dumb","58"
"aintujc100","58"
"drop","57"
"fourth","57"
"markjackson13","57"
"rebound","57"
"ese","57"
"woauhahaouuuuuuu","57"
"theblurbarbosa","57"
"17","57"
"striveforgreatness","57"
"vai","57"
"fireeeeeee","57"
"piece","57"
"realize","56"
"pulling","56"
"ganan","56"
"keeps","56"
"layvinkurzawa","56"
"dellavadova","56"
"rigged","56"
"yelling","56"
"faith","56"
"legacy","56"
"tem","56"
"due","56"
"nbaontnt","56"
"actualfutbol","56"
"andreiguodala","56"
"muestratuscolores","56"
"starts","56"
"bball","56"
"role","55"
"5yearsofauditionliam","55"
"leaving","55"
"jumpers","55"
"possible","55"
"ne","55"
"huh","55"
"haters","55"
"tbt","55"
"plus","55"
"kobe","55"
"scoring","55"
"brother","55"
"cette","54"
"nos","54"
"school","54"
"case","54"
"dudes","54"
"g","54"
"thefinals","54"
"send","54"
"lakers","54"
"monster","54"
"ma","54"
"hypnotize","54"
"decided","54"
"nerdistmom","54"
"eyes","54"
"mic","54"
"nbasados","54"
"pot","54"
"humahataw","54"
"trophy","54"
"sounds","54"
"lageng","54"
"annoying","54"
"realskipbayless","54"
"baseball","54"
"wild","54"
"witness","53"
"extra","53"
"qué","53"
"quien","53"
"sera","53"
"leg","53"
"fb","53"
"daddy","53"
"nbafinalsquiz","53"
"une","53"
"timofey","53"
"garbage","53"
"unequivocal","53"
"especially","53"
"trash","53"
"lookin","52"
